oid,osm_id,highway,access,start_date,active_years,abandoned_date,abandoned,surface
41677,593996127,residential,,,,,,
41678,593996128,residential,,,,,,
41679,593996129,residential,,,,,,
41680,594142056,unclassified,,2012,,,,
41681,594142059,unclassified,,2007,,,,
41682,594142062,tertiary,,,,,,unpaved
41683,594142063,tertiary,,,,,,unpaved
41684,594142073,tertiary,,,,,,unpaved
41685,594142079,tertiary,,before 2005,,,,unpaved
41686,594159946,secondary,,before 2005,,,,asphalt
41687,594159960,unclassified,,,,,,unpaved
41688,594186250,service,,,,,,
41689,594206011,unclassified,,before 2000,,,,ground
41690,594206012,unclassified,,before 2000,,,,ground
41691,594206014,secondary,,before 2005,,,,unpaved
41692,594206015,secondary,,before 2005,,,,unpaved
41693,594206016,residential,,,,,,
41694,594206017,residential,,,,,,
41695,594206018,residential,,,,,,
41696,594206019,residential,,,,,,
41697,594206020,residential,,,,,,
41698,594206021,residential,,,,,,
41699,594206022,residential,,,,,,
41700,594206023,residential,,,,,,
41701,594206025,secondary,,,,,,asphalt
41702,594206026,secondary,,,,,,unpaved
41703,594214143,residential,,,,,,
41704,594214144,residential,,,,,,
41705,594223861,residential,,,,,,
41706,594223862,residential,,,,,,
41707,594223863,residential,,,,,,
41708,594223864,residential,,,,,,
41709,594223865,residential,,,,,,
41710,594223866,residential,,,,,,
41711,594223867,residential,,,,,,
41712,594223868,residential,,,,,,
41713,594223869,residential,,,,,,
41714,594223871,residential,,,,,,
41715,594223872,residential,,,,,,
41716,594227184,residential,,,,,,
41717,594227185,residential,,,,,,
41718,594227200,residential,,,,,,
41719,594240464,residential,,,,,,
41720,594240466,unclassified,,,,,,
41721,594240469,residential,,,,,,
41722,594240473,residential,,,,,,
41723,594240476,residential,,,,,,
41724,594240478,residential,,,,,,
41725,594240483,residential,,,,,,
41726,594240486,residential,,,,,,
41727,594240488,residential,,,,,,
41728,594240490,residential,,,,,,
41729,594240493,unclassified,,,,,,
41730,594240496,unclassified,,,,,,
41731,594240498,unclassified,,,,,,
41732,594240501,unclassified,,,,,,
41733,594240503,residential,,,,,,
41734,594240506,residential,,,,,,
41735,594240508,unclassified,,,,,,
41736,594240510,unclassified,,,,,,
41737,594240512,unclassified,,,,,,
41738,594240513,unclassified,,,,,,
41739,594240516,residential,,,,,,
41740,594240519,residential,,,,,,
41741,594240521,residential,,,,,,
41742,594240523,residential,,,,,,
41743,594240525,residential,,,,,,
41744,594240526,unclassified,,,,,,
41745,594240528,residential,,,,,,
41746,594240530,residential,,,,,,
41747,594240532,residential,,,,,,
41748,594240534,residential,,,,,,
41749,594240536,unclassified,,,,,,
41750,594240539,residential,,,,,,
41751,594240540,unclassified,,,,,,
41752,594240541,residential,,,,,,
41753,594240542,residential,,,,,,
41754,594240543,unclassified,,,,,,
41755,594240544,unclassified,,,,,,
41756,594240545,residential,,,,,,
41757,594256379,residential,,,,,,
41758,594256382,residential,,,,,,
41759,594256385,residential,,,,,,
41760,594256389,residential,,,,,,
41761,594256392,residential,,,,,,
